sample,attack_hb,monitor_hb,progress,boot,attack_cyc,fault_cyc,attack_end_cyc,attack_latency_cycles,fault_entry_cycles,memmanage_count,mmfar,end_to_end_us,fault_entry_us,latency_us
0,2,32,255,2779096485,49602891,64613032,49602991,100,15010141,324508679,536870920,6.25,938133.8125,6.25
1,3,49,255,2779096485,135555212,135570172,135555312,100,14960,324508685,536870920,6.25,935.0,6.25
2,4,66,255,2779096485,227722638,227737744,227722738,100,15106,324508691,536870920,6.25,944.125,6.25
3,5,83,255,2779096485,319932706,319947662,319932806,100,14956,324508697,536870920,6.25,934.75,6.25
4,6,100,255,2779096485,412573048,412588160,412573148,100,15112,324508703,536870920,6.25,944.5,6.25
5,7,116,255,2779096485,505134887,505150002,505134987,100,15115,324508709,536870920,6.25,944.6875,6.25
6,8,132,255,2779096485,599280609,599295702,599280709,100,15093,324508715,536870920,6.25,943.3125,6.25
7,9,149,255,2779096485,691722593,691737624,691722693,100,15031,324508721,536870920,6.25,939.4375,6.25
8,10,165,255,2779096485,783193899,783209015,783193999,100,15116,324508727,536870920,6.25,944.75,6.25
9,11,181,255,2779096485,877216086,877231052,877216186,100,14966,324508733,536870920,6.25,935.375,6.25
10,12,197,255,2779096485,966327265,966342228,966327365,100,14963,324508739,536870920,6.25,935.1875,6.25
11,13,213,255,2779096485,1057790581,1057805534,1057790681,100,14953,324508745,536870920,6.25,934.5625,6.25
12,14,229,255,2779096485,1150184815,1150199772,1150184915,100,14957,324508751,536870920,6.25,934.8125,6.25
13,15,246,255,2779096485,1242877900,1242893011,1242878000,100,15111,324508757,536870920,6.25,944.4375,6.25
14,16,263,255,2779096485,1334141822,1334156899,1334142078,256,15077,324508763,536870920,16.0,942.3125,16.0
15,17,280,255,2779096485,1424101378,1424116369,1424101478,100,14991,324508769,536870920,6.25,936.9375,6.25
16,18,296,255,2779096485,1517057677,1517072621,1517057777,100,14944,324508775,536870920,6.25,934.0,6.25
17,19,313,255,2779096485,1609835566,1609850678,1609835666,100,15112,324508781,536870920,6.25,944.5,6.25
18,20,330,255,2779096485,1702251936,1702266879,1702252036,100,14943,324508787,536870920,6.25,933.9375,6.25
19,21,347,255,2779096485,1794048734,1794063845,1794048834,100,15111,324508793,536870920,6.25,944.4375,6.25
20,22,364,255,2779096485,1884950895,1884965989,1884950995,100,15094,324508799,536870920,6.25,943.375,6.25
21,23,380,255,2779096485,1975814222,1975829299,1975814478,256,15077,324508805,536870920,16.0,942.3125,16.0
22,24,397,255,2779096485,2068505558,2068520667,2068505658,100,15109,324508811,536870920,6.25,944.3125,6.25
23,25,414,255,2779096485,2159685152,2159700277,2159685252,100,15125,324508817,536870920,6.25,945.3125,6.25
24,26,430,255,2779096485,2251452199,2251467160,2251452299,100,14961,324508823,536870920,6.25,935.0625,6.25
25,27,447,255,2779096485,2343367077,2343382194,2343367177,100,15117,324508829,536870920,6.25,944.8125,6.25
26,28,463,255,2779096485,2435681849,2435696969,2435682105,256,15120,324508835,536870920,16.0,945.0,16.0
27,29,480,255,2779096485,2525828599,2525843647,2525828699,100,15048,324508841,536870920,6.25,940.5,6.25
28,30,497,255,2779096485,2616416326,2616431294,2616416426,100,14968,324508847,536870920,6.25,935.5,6.25
29,31,514,255,2779096485,2708920442,2708935407,2708920542,100,14965,324508853,536870920,6.25,935.3125,6.25
